original;funkce;autor
Ministryně práce a sociálních věcí ČR Jana Maláčová;Ministryně práce a sociálních věcí ČR;Jana Maláčová
Ministryně práce a sociálních věcí ČR Jaroslava Němcová;Ministryně práce a sociálních věcí ČR;Jaroslava Němcová
Ministryně práce a sociálních věcí ČR Ludmila Müllerová;Ministryně práce a sociálních věcí ČR;Ludmila Müllerová
Ministryně práce a sociálních věcí ČR Michaela Marksová;Ministryně práce a sociálních věcí ČR;Michaela Marksová
Ministryně spravedlnosti ČR Helena Válková;Ministryně spravedlnosti ČR;Helena Válková
Ministryně spravedlnosti ČR Marie Benešová;Ministryně spravedlnosti ČR;Marie Benešová
Ministryně spravedlnosti ČR Taťána Malá;Ministryně spravedlnosti ČR;Taťána Malá
Miroslava Němcová;;Miroslava Němcová
Místopředseda ČSÚ Jaroslav Sixta;Místopředseda ČSÚ;Jaroslav Sixta
Místopředseda Evropské komise a komisař pro meziinstitucionální vztahy a administrativu Maroš Šefčovič;Místopředseda Evropské komise a komisař pro meziinstitucionální vztahy a administrativu;Maroš Šefčovič
Místopředseda PSP Jan Bartošek;Místopředseda PSP;Jan Bartošek
Místopředseda PSP Jan Hamáček;Místopředseda PSP;Jan Hamáček
Místopředseda PSP Jiří Oliva;Místopředseda PSP;Jiří Oliva
Místopředseda PSP Jiří Pospíšil;Místopředseda PSP;Jiří Pospíšil
Místopředseda PSP Lubomír Zaorálek;Místopředseda PSP;Lubomír Zaorálek
Místopředseda PSP Pavel Bělobrádek;Místopředseda PSP;Pavel Bělobrádek
Místopředseda PSP Petr Fiala;Místopředseda PSP;Petr Fiala
Místopředseda PSP Petr Gazdík;Místopředseda PSP;Petr Gazdík
Místopředseda PSP Radek Vondráček;Místopředseda PSP;Radek Vondráček
Místopředseda PSP Tomio Okamura;Místopředseda PSP;Tomio Okamura
Místopředseda PSP Tomáš Hanzel;Místopředseda PSP;Tomáš Hanzel
Místopředseda PSP Vojtěch Filip;Místopředseda PSP;Vojtěch Filip
Místopředseda PSP Vojtěch Pikal;Místopředseda PSP;Vojtěch Pikal
Místopředseda vlády a ministr financí ČR Jan Fischer;Místopředseda vlády a ministr financí ČR;Jan Fischer
Místopředseda vlády a ministr průmyslu a obchodu ČR Karel Havlíček;Místopředseda vlády a ministr průmyslu a obchodu ČR;Karel Havlíček
Místopředseda vlády a ministr vnitra ČR Jan Hamáček;Místopředseda vlády a ministr vnitra ČR;Jan Hamáček
Místopředseda vlády a ministr vnitra ČR Radek John;Místopředseda vlády a ministr vnitra ČR;Radek John
Místopředseda vlády a ministr zahraničních věcí ČR Karel Schwarzenberg;Místopředseda vlády a ministr zahraničních věcí ČR;Karel Schwarzenberg
Místopředseda vlády a ministr životního prostředí ČR Richard Brabec;Místopředseda vlády a ministr životního prostředí ČR;Richard Brabec
Místopředseda vlády ČR Pavel Bělobrádek;Místopředseda vlády ČR;Pavel Bělobrádek
Místopředseda vlády ČR Radek John;Místopředseda vlády ČR;Radek John
Místopředseda vlády ČR a ministr financí Andrej Babiš;Místopředseda vlády ČR a ministr financí;Andrej Babiš
Místopředseda vlády ČR a ministr zahraničních věcí ČR Martin Stropnický;Místopředseda vlády ČR a ministr zahraničních věcí ČR;Martin Stropnický
Místopředseda vlády ČR a ministr životního prostředí Richard Brabec;Místopředseda vlády ČR a ministr životního prostředí;Richard Brabec
Místopředseda vlády ČR a ministr životního prostředí ČR Richard Brabec;Místopředseda vlády ČR a ministr životního prostředí ČR;Richard Brabec
Místopředseda vlády ČR, ministr vnitra a ministr zahraničních věcí Jan Hamáček;Místopředseda vlády ČR, ministr vnitra a ministr zahraničních věcí;Jan Hamáček
Místopředseda vlády, ministr průmyslu a obchodu a ministr dopravy ČR Karel Havlíček;Místopředseda vlády, ministr průmyslu a obchodu a ministr dopravy ČR;Karel Havlíček
Místopředseda vlády, ministr vnitra a ministr zahraničních věcí ČR Jan Hamáček;Místopředseda vlády, ministr vnitra a ministr zahraničních věcí ČR;Jan Hamáček
Místopředsedkyně PSP Jaroslava Jermanová;Místopředsedkyně PSP;Jaroslava Jermanová
Místopředsedkyně PSP Jaroslava Pokorná Jermanová;Místopředsedkyně PSP;Jaroslava Pokorná Jermanová
Místopředsedkyně PSP Kateřina Klasnová;Místopředsedkyně PSP;Kateřina Klasnová
Místopředsedkyně PSP Miroslava Němcová;Místopředsedkyně PSP;Miroslava Němcová
Místopředsedkyně PSP Vlasta Parkanová;Místopředsedkyně PSP;Vlasta Parkanová
Místopředsedkyně vlády a ministryně financí ČR Alena Schillerová;Místopředsedkyně vlády a ministryně financí ČR;Alena Schillerová
Místopředsedkyně vlády a ministryně obrany ČR Karolína Peake;Místopředsedkyně vlády a ministryně obrany ČR;Karolína Peake
Místopředsedkyně vlády ČR Karolína Peake;Místopředsedkyně vlády ČR;Karolína Peake
Náměstek hejtmana Moravskoslezského kraje Daniel Havlík;Náměstek hejtmana Moravskoslezského kraje;Daniel Havlík
Náměstek hejtmana Moravskoslezského kraje Miroslav Novák;Náměstek hejtmana Moravskoslezského kraje;Miroslav Novák
Náměstek hejtmana Pardubického kraje Roman Línek;Náměstek hejtmana Pardubického kraje;Roman Línek
Náměstek hejtmana Zlínského kraje Jaroslav Drozd;Náměstek hejtmana Zlínského kraje;Jaroslav Drozd
Předseda ČSÚ Marek Rojíček;Předseda ČSÚ;Marek Rojíček
Předseda NR SR Andrej Danko;Předseda NR SR;Andrej Danko
Předseda PSP Jan Hamáček;Předseda PSP;Jan Hamáček
Předseda PSP Radek Vondráček;Předseda PSP;Radek Vondráček
Předseda Sněmovny reprezentantů USA Paul Ryan;Předseda Sněmovny reprezentantů USA;Paul Ryan
Předseda vlády ČR Andrej Babiš;Předseda vlády ČR;Andrej Babiš
Předseda vlády ČR Bohuslav Sobotka;Předseda vlády ČR;Bohuslav Sobotka
Předseda vlády ČR Jiří Rusnok;Předseda vlády ČR;Jiří Rusnok
Předseda vlády ČR Petr Nečas;Předseda vlády ČR;Petr Nečas
Předsedající Jan Hamáček;Předsedající;Jan Hamáček
Předsedající Miroslava Němcová;Předsedající;Miroslava Němcová
Předsedkyně Národní rozpočtové rady Eva Zamrazilová;Předsedkyně Národní rozpočtové rady;Eva Zamrazilová
Předsedkyně PSP Miroslava Němcová;Předsedkyně PSP;Miroslava Němcová
Pan Drahoslav Oulehla;;Drahoslav Oulehla
Pan František Bányai;;František Bányai
Pan Jan Zahradník;;Jan Zahradník
Pan John Bok;;John Bok
Pan Pavel Varvařovský;;Pavel Varvařovský
Pan Pavel Štern;;Pavel Štern
Paní Anna Šabatová;Paní;Anna Šabatová
Paní Eva Dundáčková;Paní;Eva Dundáčková
Paní Iva Brožová;Paní;Iva Brožová
Poslanec Adam Kalous;Poslanec;Adam Kalous
Poslanec Adam Rykala;Poslanec;Adam Rykala
Poslanec Adam Vojtěch;Poslanec;Adam Vojtěch
Poslanec Adolf Beznoska;Poslanec;Adolf Beznoska
Poslanec Aleš Juchelka;Poslanec;Aleš Juchelka
Poslanec Aleš Roztočil;Poslanec;Aleš Roztočil
Poslanec Aleš Rádl;Poslanec;Aleš Rádl
Poslanec Alexander Černý;Poslanec;Alexander Černý
Poslanec Alfréd Michalík;Poslanec;Alfréd Michalík
Poslanec Andrej Babiš;Poslanec;Andrej Babiš
Poslanec Antonín Seďa;Poslanec;Antonín Seďa
Poslanec Antonín Staněk;Poslanec;Antonín Staněk
Poslanec Augustin Karel Andrle Sylor;Poslanec;Augustin Karel Andrle Sylor
Poslanec Břetislav Petr;Poslanec;Břetislav Petr
Poslanec Bořivoj Šarapatka;Poslanec;Bořivoj Šarapatka
Poslanec Bohuslav Chalupa;Poslanec;Bohuslav Chalupa
Poslanec Bohuslav Sobotka;Poslanec;Bohuslav Sobotka
Poslanec Bohuslav Svoboda;Poslanec;Bohuslav Svoboda
Poslanec Boris Šťastný;Poslanec;Boris Šťastný
Poslanec Bronislav Schwarz;Poslanec;Bronislav Schwarz
Poslanec Cyril Zapletal;Poslanec;Cyril Zapletal
Poslanec Daniel Herman;Poslanec;Daniel Herman
Poslanec Daniel Korte;Poslanec;Daniel Korte
Poslanec Daniel Pawlas;Poslanec;Daniel Pawlas
Poslanec David Kasal;Poslanec;David Kasal
Poslanec David Kádner;Poslanec;David Kádner
Poslanec David Pražák;Poslanec;David Pražák
Poslanec David Rath;Poslanec;David Rath
Poslanec David Vodrážka;Poslanec;David Vodrážka
Poslanec David Šeich;Poslanec;David Šeich
Poslanec David Štolpa;Poslanec;David Štolpa
Poslanec Dominik Feri;Poslanec;Dominik Feri
Poslanec František Adámek;Poslanec;František Adámek
Poslanec František Bublan;Poslanec;František Bublan
Poslanec František Dědič;Poslanec;František Dědič
Poslanec František Elfmark;Poslanec;František Elfmark
Poslanec František Kopřiva;Poslanec;František Kopřiva
Poslanec František Laudát;Poslanec;František Laudát
Poslanec František Navrkal;Poslanec;František Navrkal
Poslanec František Novosad;Poslanec;František Novosad
Poslanec František Petrtýl;Poslanec;František Petrtýl
Poslanec František Sivera;Poslanec;František Sivera
Poslanec František Vácha;Poslanec;František Vácha
Poslanec Herbert Pavera;Poslanec;Herbert Pavera
Poslanec Igor Jakubčík;Poslanec;Igor Jakubčík
